ID_Animal;GC;PN_kg;PD_kg;PS_kg;GPD_g-dia;PE_cm;AOL_cm2;EGS_mm;MAR_%;CAR_kg-dia;PREC_SEX;IPP_dias;PROB_3P_%;STAY_%;Sexo;Geracao;Raca;Data_Nascimento
5147;117.0;33.0;203.0;415.0;614.4927536231885;36.0;95.81;5.27;3.4;0.54;0.0;;43.0;0.0;M;1;Nelore;2020-01-01
5148;141.0;34.0;219.0;365.0;423.18840579710144;36.0;75.33;4.93;3.7;-0.58;0.0;;79.87;0.0;M;1;Nelore;2020-01-01
5149;177.0;35.0;198.0;382.0;533.3333333333334;39.0;85.33;4.29;3.57;-0.05;0.0;;54.99;0.0;M;1;Nelore;2020-01-01
5150;191.0;35.0;202.0;422.0;637.6811594202898;39.0;94.35;4.83;3.27;0.33;0.0;;47.78;0.0;M;1;Nelore;2020-01-01
5151;197.0;36.0;234.0;453.0;634.7826086956521;39.0;96.21;4.46;4.6;-0.36;0.0;;81.36;0.0;M;1;Nelore;2020-01-01
5152;128.0;29.0;209.0;488.0;808.695652173913;34.0;97.5;4.29;3.03;-0.15;0.0;;27.29;0.0;M;1;Nelore;2020-01-01
5153;136.0;35.0;221.0;454.0;675.3623188405797;37.0;86.34;3.6;3.63;0.27;0.0;;61.58;0.0;M;1;Nelore;2020-01-01
5154;135.0;37.0;206.0;400.0;562.3188405797101;38.0;85.18;3.47;3.35;-0.35;0.0;;32.57;0.0;M;1;Nelore;2020-01-01
5155;112.0;36.0;230.0;473.0;704.3478260869566;34.0;73.39;4.56;3.66;-0.28;0.0;;69.29;0.0;M;1;Nelore;2020-01-01
5156;167.0;34.0;242.0;403.0;466.6666666666667;38.0;87.94;4.07;3.93;0.27;0.0;;65.92;0.0;M;1;Nelore;2020-01-01
5157;150.0;32.0;200.0;408.0;602.8985507246377;38.0;80.53;3.75;3.0;-0.74;0.0;;64.38;0.0;M;1;Nelore;2020-01-01
5158;194.0;32.0;200.0;410.0;608.6956521739131;36.0;74.97;4.41;3.63;-0.61;0.0;;34.12;0.0;M;1;Nelore;2020-01-01
5159;100.0;33.0;206.0;412.0;597.1014492753624;40.0;79.73;4.6;3.31;-0.09;0.0;;74.25;0.0;M;1;Nelore;2020-01-01
5160;108.0;38.0;210.0;488.0;805.7971014492754;39.0;90.83;5.46;3.63;-0.55;0.0;;58.6;0.0;M;1;Nelore;2020-01-01
5161;172.0;33.0;206.0;450.0;707.2463768115942;41.0;77.91;4.73;3.88;-0.31;0.0;;65.69;0.0;M;1;Nelore;2020-01-01
5162;100.0;36.0;197.0;462.0;768.1159420289855;41.0;95.91;5.39;3.46;-0.13;0.0;;68.56;0.0;M;1;Nelore;2020-01-01
5163;189.0;33.0;216.0;416.0;579.7101449275362;38.0;80.7;4.46;3.62;-0.39;0.0;;53.19;0.0;M;1;Nelore;2020-01-01
5164;134.0;34.0;204.0;448.0;707.2463768115942;41.0;83.39;4.23;3.06;-0.5;0.0;;51.69;0.0;M;1;Nelore;2020-01-01
5165;148.0;33.0;201.0;511.0;898.5507246376811;46.0;84.2;4.56;4.0;0.12;0.0;;51.93;0.0;M;1;Nelore;2020-01-01
5166;125.0;35.0;208.0;491.0;820.2898550724638;38.0;90.17;4.5;3.61;-0.35;0.0;;55.2;0.0;M;1;Nelore;2020-01-01
5167;170.0;38.0;227.0;521.0;852.1739130434783;44.0;74.03;4.51;2.82;-0.09;0.0;;65.4;0.0;M;1;Nelore;2020-01-01
5168;131.0;37.0;214.0;446.0;672.463768115942;43.0;81.21;4.56;4.15;-0.2;0.0;;48.45;0.0;M;1;Nelore;2020-01-01
5169;165.0;33.0;208.0;427.0;634.7826086956521;36.0;78.05;3.8;3.84;-0.07;0.0;;80.4;0.0;M;1;Nelore;2020-01-01
5170;131.0;31.0;194.0;403.0;605.7971014492754;36.0;87.29;3.98;3.49;0.19;0.0;;55.84;0.0;M;1;Nelore;2020-01-01
5171;103.0;29.0;209.0;402.0;559.4202898550724;34.0;85.94;3.17;2.52;0.12;0.0;;52.43;0.0;M;1;Nelore;2020-01-01
5172;117.0;35.0;230.0;457.0;657.9710144927536;40.0;78.25;4.67;3.79;0.62;0.0;;59.29;0.0;M;1;Nelore;2020-01-01
5173;135.0;36.0;196.0;364.0;486.95652173913044;41.0;73.54;5.0;3.05;-0.29;0.0;;57.97;0.0;M;1;Nelore;2020-01-01
5174;103.0;36.0;210.0;443.0;675.3623188405797;37.0;100.74;5.06;3.34;-0.44;0.0;;35.96;0.0;M;1;Nelore;2020-01-01
5175;101.0;34.0;221.0;483.0;759.4202898550725;40.0;78.11;4.71;3.28;0.11;0.0;;64.77;0.0;M;1;Nelore;2020-01-01
5176;126.0;38.0;245.0;444.0;576.8115942028985;41.0;101.01;4.29;3.57;0.13;0.0;;60.33;0.0;M;1;Nelore;2020-01-01
5177;133.0;32.0;200.0;418.0;631.8840579710145;38.0;88.43;3.64;3.21;-0.51;0.0;;81.31;0.0;M;1;Nelore;2020-01-01
5178;196.0;35.0;220.0;415.0;565.2173913043478;37.0;79.78;4.97;3.88;-0.54;0.0;;84.9;0.0;M;1;Nelore;2020-01-01
5179;135.0;34.0;202.0;484.0;817.3913043478261;38.0;84.11;3.3;3.57;-0.03;0.0;;26.34;0.0;M;1;Nelore;2020-01-01
5180;179.0;34.0;207.0;391.0;533.3333333333334;41.0;82.23;2.94;3.03;0.07;0.0;;43.22;0.0;M;1;Nelore;2020-01-01
5181;149.0;33.0;174.0;440.0;771.0144927536232;43.0;78.11;3.95;3.87;-0.07;0.0;;69.25;0.0;M;1;Nelore;2020-01-01
5182;113.0;37.0;208.0;409.0;582.6086956521739;39.0;83.55;5.57;3.24;-0.69;0.0;;33.79;0.0;M;1;Nelore;2020-01-01
5183;130.0;33.0;202.0;409.0;600.0;40.0;76.78;2.74;4.28;-0.37;0.0;;37.28;0.0;M;1;Nelore;2020-01-01
5184;192.0;32.0;227.0;436.0;605.7971014492754;42.0;69.59;4.45;3.32;-0.6;0.0;;60.44;0.0;M;1;Nelore;2020-01-01
5185;157.0;37.0;206.0;452.0;713.0434782608695;40.0;91.7;3.81;3.99;0.05;0.0;;52.7;0.0;M;1;Nelore;2020-01-01
5186;186.0;35.0;228.0;428.0;579.7101449275362;41.0;90.44;3.15;3.21;-0.06;0.0;;39.04;0.0;M;1;Nelore;2020-01-01
5187;190.0;35.0;219.0;438.0;634.7826086956521;36.0;79.45;4.55;3.29;0.05;0.0;;62.18;0.0;M;1;Nelore;2020-01-01
5188;169.0;36.0;239.0;443.0;591.304347826087;39.0;82.2;5.23;2.79;-0.21;0.0;;45.85;0.0;M;1;Nelore;2020-01-01
5189;156.0;32.0;218.0;460.0;701.4492753623189;45.0;80.36;5.5;3.88;-0.01;0.0;;20.91;0.0;M;1;Nelore;2020-01-01
5190;108.0;40.0;214.0;450.0;684.0579710144928;41.0;78.91;5.53;3.8;-0.34;0.0;;46.39;0.0;M;1;Nelore;2020-01-01
5191;172.0;36.0;252.0;434.0;527.536231884058;40.0;94.18;4.28;2.92;0.41;0.0;;53.23;0.0;M;1;Nelore;2020-01-01
5192;141.0;33.0;215.0;446.0;669.5652173913044;38.0;78.96;5.59;3.24;-0.24;0.0;;79.44;0.0;M;1;Nelore;2020-01-01
5193;176.0;39.0;229.0;481.0;730.4347826086956;40.0;81.8;3.96;3.24;0.59;0.0;;56.42;0.0;M;1;Nelore;2020-01-01
5194;172.0;36.0;203.0;439.0;684.0579710144928;39.0;78.79;3.98;3.92;0.45;0.0;;53.84;0.0;M;1;Nelore;2020-01-01
5195;110.0;35.0;216.0;441.0;652.1739130434783;38.0;89.52;4.32;3.39;-0.18;0.0;;31.63;0.0;M;1;Nelore;2020-01-01
5196;107.0;30.0;209.0;437.0;660.8695652173913;40.0;96.84;3.8;3.13;-0.25;0.0;;69.82;0.0;M;1;Nelore;2020-01-01
5197;145.0;38.0;231.0;508.0;802.8985507246376;39.0;92.44;3.83;1.75;0.2;0.0;;56.86;0.0;M;1;Nelore;2020-01-01
5198;132.0;36.0;208.0;394.0;539.1304347826087;40.0;83.75;4.99;3.76;-0.38;0.0;;77.37;0.0;M;1;Nelore;2020-01-01
5199;163.0;34.0;209.0;488.0;808.695652173913;38.0;83.46;4.62;3.73;-0.22;0.0;;42.57;0.0;M;1;Nelore;2020-01-01
5200;133.0;37.0;219.0;458.0;692.7536231884059;41.0;84.92;5.72;4.37;-0.46;0.0;;34.59;0.0;M;1;Nelore;2020-01-01
5201;170.0;34.0;193.0;385.0;556.5217391304348;33.0;87.59;3.46;3.76;-0.33;0.0;;33.35;0.0;M;1;Nelore;2020-01-01
5202;176.0;36.0;221.0;485.0;765.2173913043479;38.0;88.15;4.64;3.64;-0.06;0.0;;74.38;0.0;M;1;Nelore;2020-01-01
5203;157.0;39.0;240.0;446.0;597.1014492753624;38.0;89.79;4.92;3.97;-0.21;0.0;;83.62;0.0;M;1;Nelore;2020-01-01
5204;196.0;33.0;214.0;496.0;817.3913043478261;34.0;82.4;5.08;4.38;-0.02;0.0;;51.51;0.0;M;1;Nelore;2020-01-01
5205;129.0;34.0;237.0;452.0;623.1884057971015;43.0;76.85;5.97;3.5;-0.14;0.0;;53.23;0.0;M;1;Nelore;2020-01-01
5206;105.0;29.0;201.0;464.0;762.3188405797101;37.0;70.91;5.17;3.64;0.07;0.0;;42.12;0.0;M;1;Nelore;2020-01-01
5207;172.0;36.0;206.0;546.0;985.5072463768116;44.0;74.62;4.31;3.01;-0.32;0.0;;39.79;0.0;M;1;Nelore;2020-01-01
5208;167.0;34.0;217.0;471.0;736.231884057971;36.0;79.23;6.45;2.8;-0.19;0.0;;26.8;0.0;M;1;Nelore;2020-01-01
5209;180.0;35.0;192.0;421.0;663.768115942029;39.0;81.28;4.96;4.36;-0.24;0.0;;76.08;0.0;M;1;Nelore;2020-01-01
5210;152.0;35.0;220.0;388.0;486.95652173913044;37.0;88.71;4.4;2.91;0.08;0.0;;62.79;0.0;M;1;Nelore;2020-01-01
5211;173.0;39.0;225.0;473.0;718.8405797101449;42.0;92.22;3.71;3.08;-0.38;0.0;;51.63;0.0;M;1;Nelore;2020-01-01
5212;135.0;35.0;235.0;453.0;631.8840579710145;41.0;88.16;3.76;2.92;-0.08;0.0;;73.43;0.0;M;1;Nelore;2020-01-01
5213;142.0;32.0;214.0;455.0;698.5507246376812;38.0;84.1;4.71;2.27;0.41;0.0;;20.99;0.0;M;1;Nelore;2020-01-01
5214;171.0;31.0;217.0;426.0;605.7971014492754;36.0;79.3;4.66;3.26;-0.35;0.0;;73.44;0.0;M;1;Nelore;2020-01-01
5215;157.0;34.0;186.0;434.0;718.8405797101449;35.0;81.67;5.31;3.27;0.54;0.0;;41.88;0.0;M;1;Nelore;2020-01-01
5216;181.0;37.0;240.0;475.0;681.1594202898551;43.0;70.01;4.94;3.89;-0.44;0.0;;34.05;0.0;M;1;Nelore;2020-01-01
5217;172.0;38.0;199.0;429.0;666.6666666666666;43.0;85.74;4.97;4.14;-0.24;0.0;;84.5;0.0;M;1;Nelore;2020-01-01
5218;124.0;35.0;219.0;454.0;681.1594202898551;41.0;92.15;5.48;3.53;0.06;0.0;;45.9;0.0;M;1;Nelore;2020-01-01
5219;105.0;35.0;200.0;397.0;571.0144927536231;37.0;87.67;2.98;3.72;-0.36;0.0;;25.29;0.0;M;1;Nelore;2020-01-01
5220;180.0;36.0;193.0;407.0;620.2898550724639;40.0;75.21;3.99;3.29;-1.0;0.0;;30.14;0.0;M;1;Nelore;2020-01-01
5221;123.0;36.0;226.0;488.0;759.4202898550725;42.0;94.1;4.63;4.75;-0.21;0.0;;69.26;0.0;M;1;Nelore;2020-01-01
5222;132.0;31.0;211.0;448.0;686.9565217391305;38.0;93.31;3.99;3.28;0.36;0.0;;41.62;0.0;M;1;Nelore;2020-01-01
5223;133.0;39.0;215.0;354.0;402.8985507246377;43.0;90.52;5.54;4.35;-0.08;0.0;;32.19;0.0;M;1;Nelore;2020-01-01
5224;192.0;29.0;188.0;338.0;434.7826086956522;38.0;90.22;4.61;3.62;-0.11;0.0;;60.37;0.0;M;1;Nelore;2020-01-01
5225;156.0;37.0;197.0;530.0;965.2173913043478;39.0;102.28;3.82;3.94;0.33;0.0;;32.68;0.0;M;1;Nelore;2020-01-01
5226;114.0;34.0;221.0;440.0;634.7826086956521;38.0;74.67;5.45;3.59;0.01;0.0;;71.63;0.0;M;1;Nelore;2020-01-01
5227;166.0;36.0;202.0;455.0;733.3333333333333;38.0;83.95;4.91;3.06;0.32;0.0;;43.85;0.0;M;1;Nelore;2020-01-01
5228;193.0;31.0;198.0;434.0;684.0579710144928;37.0;78.63;4.04;2.86;-0.21;0.0;;70.73;0.0;M;1;Nelore;2020-01-01
5229;167.0;32.0;204.0;429.0;652.1739130434783;39.0;84.93;3.91;2.36;-0.24;0.0;;48.64;0.0;M;1;Nelore;2020-01-01
5230;149.0;35.0;215.0;476.0;756.5217391304348;39.0;83.1;4.51;3.63;-0.4;0.0;;79.7;0.0;M;1;Nelore;2020-01-01
5231;156.0;31.0;224.0;466.0;701.4492753623189;42.0;103.14;3.71;4.29;0.02;0.0;;44.19;0.0;M;1;Nelore;2020-01-01
5232;175.0;38.0;235.0;463.0;660.8695652173913;44.0;95.96;4.11;4.38;0.43;0.0;;24.06;0.0;M;1;Nelore;2020-01-01
5233;198.0;33.0;214.0;442.0;660.8695652173913;35.0;83.89;4.76;3.5;0.14;0.0;;75.71;0.0;M;1;Nelore;2020-01-01
5234;199.0;39.0;256.0;403.0;426.0869565217391;43.0;105.34;4.22;3.52;0.07;0.0;;49.41;0.0;M;1;Nelore;2020-01-01
5235;141.0;40.0;233.0;408.0;507.24637681159425;38.0;77.94;3.38;4.44;-0.42;0.0;;55.59;0.0;M;1;Nelore;2020-01-01
5236;179.0;38.0;199.0;434.0;681.1594202898551;41.0;85.85;4.41;3.1;-0.22;0.0;;20.67;0.0;M;1;Nelore;2020-01-01
5237;131.0;37.0;204.0;471.0;773.9130434782609;39.0;83.92;2.52;3.49;0.34;0.0;;39.95;0.0;M;1;Nelore;2020-01-01
5238;129.0;32.0;235.0;386.0;437.6811594202899;43.0;96.84;4.03;2.93;-0.35;0.0;;23.66;0.0;M;1;Nelore;2020-01-01
5239;194.0;36.0;234.0;473.0;692.7536231884059;42.0;87.22;4.57;4.13;-0.49;0.0;;39.9;0.0;M;1;Nelore;2020-01-01
5240;108.0;36.0;228.0;514.0;828.9855072463768;37.0;86.98;3.81;4.22;-0.84;0.0;;42.82;0.0;M;1;Nelore;2020-01-01
5241;185.0;35.0;228.0;484.0;742.0289855072464;41.0;81.31;5.24;3.35;-0.02;0.0;;59.98;0.0;M;1;Nelore;2020-01-01
5242;101.0;34.0;215.0;467.0;730.4347826086956;43.0;85.48;3.78;3.51;-0.31;0.0;;82.95;0.0;M;1;Nelore;2020-01-01
5243;128.0;38.0;207.0;402.0;565.2173913043478;38.0;75.41;5.09;3.16;-0.01;0.0;;61.24;0.0;M;1;Nelore;2020-01-01
5244;170.0;34.0;220.0;484.0;765.2173913043479;38.0;79.14;4.43;3.34;-0.06;0.0;;60.89;0.0;M;1;Nelore;2020-01-01
5245;171.0;34.0;186.0;405.0;634.7826086956521;36.0;84.35;4.1;3.37;0.43;0.0;;67.61;0.0;M;1;Nelore;2020-01-01
5246;171.0;34.0;178.0;448.0;782.608695652174;35.0;78.02;4.93;3.01;0.11;0.0;;70.06;0.0;M;1;Nelore;2020-01-01
5247;170.0;40.0;202.0;457.0;739.1304347826086;38.0;87.52;5.0;4.43;-0.29;0.0;;35.4;0.0;M;1;Nelore;2020-01-01
5248;183.0;34.0;214.0;365.0;437.6811594202899;36.0;77.94;4.44;3.63;-0.05;0.0;;65.66;0.0;M;1;Nelore;2020-01-01
5249;153.0;37.0;237.0;397.0;463.768115942029;40.0;77.69;2.77;2.96;-0.07;0.0;;57.71;0.0;M;1;Nelore;2020-01-01
5250;112.0;32.0;215.0;445.0;666.6666666666666;38.0;76.25;4.49;3.22;-0.68;0.0;;46.37;0.0;M;1;Nelore;2020-01-01
5251;178.0;35.0;236.0;439.0;588.4057971014493;38.0;79.8;3.97;3.17;-0.28;0.0;;50.88;0.0;M;1;Nelore;2020-01-01
5252;147.0;35.0;207.0;395.0;544.927536231884;39.0;82.4;3.98;2.76;0.53;0.0;;82.2;0.0;M;1;Nelore;2020-01-01
5253;107.0;38.0;237.0;409.0;498.5507246376812;44.0;91.3;5.59;4.45;-0.37;0.0;;68.15;0.0;M;1;Nelore;2020-01-01
5254;127.0;35.0;219.0;407.0;544.927536231884;44.0;85.94;3.96;2.85;-0.74;0.0;;83.36;0.0;M;1;Nelore;2020-01-01
5255;123.0;36.0;244.0;472.0;660.8695652173913;40.0;97.27;4.96;4.1;0.35;0.0;;76.42;0.0;M;1;Nelore;2020-01-01
5256;124.0;33.0;218.0;395.0;513.0434782608696;40.0;75.35;4.36;3.43;0.3;0.0;;24.93;0.0;M;1;Nelore;2020-01-01
5257;162.0;35.0;222.0;458.0;684.0579710144928;40.0;83.0;4.1;3.41;0.39;0.0;;61.23;0.0;M;1;Nelore;2020-01-01
5258;137.0;38.0;210.0;494.0;823.1884057971014;46.0;83.76;2.86;4.05;-0.11;0.0;;22.44;0.0;M;1;Nelore;2020-01-01
5259;188.0;34.0;200.0;476.0;800.0;40.0;84.35;3.47;2.53;0.0;0.0;;81.31;0.0;M;1;Nelore;2020-01-01
5260;170.0;39.0;197.0;423.0;655.0724637681159;40.0;79.18;4.91;3.97;0.07;0.0;;74.23;0.0;M;1;Nelore;2020-01-01
5261;160.0;34.0;196.0;394.0;573.9130434782609;36.0;81.0;5.12;3.15;0.11;0.0;;64.39;0.0;M;1;Nelore;2020-01-01
5262;135.0;36.0;225.0;526.0;872.4637681159421;38.0;96.4;2.84;2.62;0.19;0.0;;39.73;0.0;M;1;Nelore;2020-01-01
5263;162.0;37.0;226.0;466.0;695.6521739130435;42.0;78.89;4.24;3.93;0.39;0.0;;48.05;0.0;M;1;Nelore;2020-01-01
5264;117.0;33.0;235.0;451.0;626.0869565217391;39.0;83.74;6.52;2.94;-0.28;0.0;;39.61;0.0;M;1;Nelore;2020-01-01
5265;132.0;35.0;233.0;479.0;713.0434782608695;41.0;96.74;3.96;3.71;-0.36;0.0;;53.51;0.0;M;1;Nelore;2020-01-01
5266;111.0;36.0;220.0;426.0;597.1014492753624;38.0;86.76;4.13;4.16;-0.1;0.0;;33.14;0.0;M;1;Nelore;2020-01-01
5267;144.0;38.0;189.0;403.0;620.2898550724639;39.0;72.35;4.26;3.41;-0.13;0.0;;39.16;0.0;M;1;Nelore;2020-01-01
5268;113.0;33.0;205.0;465.0;753.6231884057971;38.0;86.73;5.02;3.95;-0.01;0.0;;40.81;0.0;M;1;Nelore;2020-01-01
5269;171.0;39.0;203.0;440.0;686.9565217391305;38.0;90.43;4.68;3.59;-0.29;0.0;;49.72;0.0;M;1;Nelore;2020-01-01
5270;102.0;35.0;208.0;464.0;742.0289855072464;35.0;80.96;4.67;3.28;-0.09;0.0;;36.89;0.0;M;1;Nelore;2020-01-01
5271;176.0;38.0;225.0;467.0;701.4492753623189;39.0;84.98;3.54;4.44;-0.02;0.0;;69.8;0.0;M;1;Nelore;2020-01-01
5272;178.0;34.0;212.0;468.0;742.0289855072464;37.0;82.66;4.43;3.56;-0.17;0.0;;28.75;0.0;M;1;Nelore;2020-01-01
5273;156.0;35.0;218.0;381.0;472.46376811594206;36.0;97.42;4.06;3.11;-0.13;0.0;;24.31;0.0;M;1;Nelore;2020-01-01
5274;158.0;33.0;200.0;417.0;628.9855072463768;41.0;79.53;2.92;2.45;-0.2;0.0;;42.59;0.0;M;1;Nelore;2020-01-01
5275;163.0;40.0;216.0;410.0;562.3188405797101;43.0;93.22;4.12;3.49;0.38;0.0;;74.2;0.0;M;1;Nelore;2020-01-01
5276;106.0;35.0;215.0;441.0;655.0724637681159;38.0;90.28;3.82;3.17;-0.14;0.0;;56.45;0.0;M;1;Nelore;2020-01-01
5277;100.0;39.0;217.0;385.0;486.95652173913044;40.0;92.63;2.85;3.31;-0.43;0.0;;39.77;0.0;M;1;Nelore;2020-01-01
5278;156.0;32.0;221.0;456.0;681.1594202898551;41.0;68.57;4.04;3.04;0.44;0.0;;77.75;0.0;M;1;Nelore;2020-01-01
5279;135.0;37.0;221.0;397.0;510.1449275362319;37.0;88.64;4.15;3.88;-0.03;0.0;;50.41;0.0;M;1;Nelore;2020-01-01
5280;152.0;31.0;203.0;502.0;866.6666666666667;39.0;90.05;4.99;3.51;-0.49;0.0;;22.65;0.0;M;1;Nelore;2020-01-01
5281;108.0;35.0;232.0;442.0;608.6956521739131;42.0;83.36;4.07;4.13;-0.7;0.0;;32.49;0.0;M;1;Nelore;2020-01-01
5282;113.0;36.0;219.0;441.0;643.4782608695651;37.0;90.06;3.25;3.12;-0.33;0.0;;84.03;0.0;M;1;Nelore;2020-01-01
5283;173.0;34.0;211.0;422.0;611.5942028985507;40.0;73.43;5.48;3.69;-0.31;0.0;;52.9;0.0;M;1;Nelore;2020-01-01
5284;111.0;36.0;173.0;361.0;544.927536231884;37.0;83.62;5.02;2.35;-0.11;0.0;;32.69;0.0;M;1;Nelore;2020-01-01
5285;102.0;35.0;188.0;428.0;695.6521739130435;38.0;81.63;4.34;3.76;-0.46;0.0;;28.32;0.0;M;1;Nelore;2020-01-01
5286;180.0;38.0;210.0;471.0;756.5217391304348;37.0;85.98;4.0;4.17;-0.05;0.0;;52.69;0.0;M;1;Nelore;2020-01-01
5287;175.0;38.0;213.0;367.0;446.3768115942029;39.0;79.99;5.05;2.98;-0.38;0.0;;31.67;0.0;M;1;Nelore;2020-01-01
5288;195.0;42.0;220.0;468.0;718.8405797101449;41.0;83.71;3.43;4.17;-0.07;0.0;;44.4;0.0;M;1;Nelore;2020-01-01
5289;183.0;35.0;210.0;466.0;742.0289855072464;42.0;98.14;5.63;4.84;-0.02;0.0;;30.72;0.0;M;1;Nelore;2020-01-01
5290;167.0;38.0;226.0;457.0;669.5652173913044;37.0;77.29;2.81;3.38;-0.71;0.0;;83.46;0.0;M;1;Nelore;2020-01-01
5291;154.0;35.0;206.0;433.0;657.9710144927536;38.0;79.7;4.92;2.78;0.07;0.0;;24.37;0.0;M;1;Nelore;2020-01-01
5292;164.0;33.0;207.0;433.0;655.0724637681159;36.0;85.1;4.45;3.64;-0.21;0.0;;43.97;0.0;M;1;Nelore;2020-01-01
5293;176.0;37.0;244.0;481.0;686.9565217391305;38.0;85.3;3.08;3.79;-0.11;0.0;;79.52;0.0;M;1;Nelore;2020-01-01
5294;126.0;33.0;229.0;499.0;782.608695652174;41.0;97.52;5.76;3.61;-0.47;0.0;;30.1;0.0;M;1;Nelore;2020-01-01
5295;197.0;37.0;224.0;448.0;649.2753623188405;40.0;73.27;4.21;4.18;0.08;0.0;;35.0;0.0;M;1;Nelore;2020-01-01
5296;193.0;29.0;180.0;387.0;600.0;41.0;70.66;4.66;3.15;-0.1;0.0;;32.51;0.0;M;1;Nelore;2020-01-01
5297;196.0;33.0;211.0;397.0;539.1304347826087;36.0;78.92;5.31;2.9;-0.52;0.0;;77.29;0.0;M;1;Nelore;2020-01-01
5298;118.0;31.0;216.0;395.0;518.840579710145;39.0;83.15;4.34;2.95;-0.29;0.0;;54.09;0.0;M;1;Nelore;2020-01-01
5299;175.0;38.0;182.0;426.0;707.2463768115942;32.0;83.07;3.81;3.43;0.39;0.0;;76.93;0.0;M;1;Nelore;2020-01-01
5300;106.0;35.0;177.0;414.0;686.9565217391305;41.0;96.97;4.19;3.61;-0.1;0.0;;75.61;0.0;M;1;Nelore;2020-01-01
5301;194.0;36.0;229.0;469.0;695.6521739130435;37.0;92.07;4.93;3.03;0.31;0.0;;63.38;0.0;M;1;Nelore;2020-01-01
5302;162.0;33.0;200.0;503.0;878.2608695652174;41.0;89.51;4.59;3.19;-0.15;0.0;;26.23;0.0;M;1;Nelore;2020-01-01
5303;179.0;38.0;222.0;373.0;437.6811594202899;39.0;100.8;5.95;3.85;-0.53;0.0;;44.95;0.0;M;1;Nelore;2020-01-01
5304;106.0;34.0;201.0;398.0;571.0144927536231;41.0;70.29;2.93;3.59;-0.01;0.0;;43.73;0.0;M;1;Nelore;2020-01-01
5305;130.0;29.0;204.0;364.0;463.768115942029;35.0;83.12;4.67;3.21;0.49;0.0;;52.37;0.0;M;1;Nelore;2020-01-01
5306;158.0;38.0;244.0;433.0;547.8260869565216;42.0;92.15;6.29;3.45;-0.5;0.0;;33.48;0.0;M;1;Nelore;2020-01-01
5307;129.0;35.0;208.0;349.0;408.69565217391306;37.0;77.13;4.13;3.59;0.0;0.0;;46.75;0.0;M;1;Nelore;2020-01-01
5308;164.0;37.0;230.0;502.0;788.4057971014494;40.0;85.53;4.85;3.54;-0.08;0.0;;33.98;0.0;M;1;Nelore;2020-01-01
5309;199.0;33.0;215.0;453.0;689.8550724637681;38.0;78.2;4.56;2.9;-0.69;0.0;;58.99;0.0;M;1;Nelore;2020-01-01
5310;175.0;33.0;182.0;477.0;855.072463768116;37.0;83.0;4.26;3.55;0.08;0.0;;37.67;0.0;M;1;Nelore;2020-01-01
5311;171.0;37.0;199.0;428.0;663.768115942029;39.0;88.66;1.65;4.03;0.14;0.0;;80.47;0.0;M;1;Nelore;2020-01-01
5312;148.0;37.0;236.0;466.0;666.6666666666666;40.0;84.0;4.95;4.11;0.11;0.0;;72.14;0.0;M;1;Nelore;2020-01-01
5313;108.0;36.0;204.0;436.0;672.463768115942;43.0;80.64;4.79;3.46;0.04;0.0;;45.18;0.0;M;1;Nelore;2020-01-01
5314;132.0;38.0;210.0;440.0;666.6666666666666;41.0;82.3;4.25;3.96;0.58;0.0;;51.73;0.0;M;1;Nelore;2020-01-01
5315;122.0;35.0;200.0;431.0;669.5652173913044;36.0;79.28;5.05;2.72;0.23;0.0;;59.49;0.0;M;1;Nelore;2020-01-01
5316;125.0;35.0;232.0;485.0;733.3333333333333;43.0;83.32;3.95;3.03;-0.59;0.0;;47.55;0.0;M;1;Nelore;2020-01-01
5317;199.0;41.0;241.0;410.0;489.8550724637681;43.0;85.81;4.21;4.0;0.77;0.0;;40.15;0.0;M;1;Nelore;2020-01-01
5318;175.0;39.0;216.0;414.0;573.9130434782609;39.0;95.58;4.37;3.8;0.09;0.0;;57.02;0.0;M;1;Nelore;2020-01-01
5319;194.0;31.0;192.0;482.0;840.5797101449275;35.0;87.34;4.83;4.06;-0.07;0.0;;35.03;0.0;M;1;Nelore;2020-01-01
5320;135.0;35.0;211.0;488.0;802.8985507246376;40.0;87.46;3.07;3.09;0.06;0.0;;54.9;0.0;M;1;Nelore;2020-01-01
5321;138.0;41.0;237.0;479.0;701.4492753623189;42.0;95.38;5.53;4.18;0.33;0.0;;82.7;0.0;M;1;Nelore;2020-01-01
5322;155.0;36.0;207.0;457.0;724.6376811594203;42.0;88.49;4.12;3.36;0.25;0.0;;63.03;0.0;M;1;Nelore;2020-01-01
5323;173.0;32.0;213.0;371.0;457.9710144927536;44.0;85.39;5.12;4.22;0.11;0.0;;80.45;0.0;M;1;Nelore;2020-01-01
5324;174.0;39.0;192.0;393.0;582.6086956521739;41.0;80.48;4.8;3.62;-0.99;0.0;;72.79;0.0;M;1;Nelore;2020-01-01
5325;150.0;36.0;223.0;522.0;866.6666666666667;39.0;87.59;4.0;3.79;0.09;0.0;;62.02;0.0;M;1;Nelore;2020-01-01
5326;161.0;36.0;212.0;403.0;553.623188405797;39.0;72.13;3.25;3.27;-0.62;0.0;;83.58;0.0;M;1;Nelore;2020-01-01
5327;149.0;33.0;211.0;429.0;631.8840579710145;37.0;77.77;3.43;3.2;0.27;0.0;;44.84;0.0;M;1;Nelore;2020-01-01
