ID_Animal;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;ITU_Media;ITU_DP;ITU_Max
5122;1;Verão;Pasto C;Pasto + Suplemento;Mombaça;Setor_1C;2024-02-17;124;77.3;6.42;86.19
5123;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-04-22;34;68.8;5.79;76.9
5124;2;Primavera;Pasto B;Pasto + Suplemento;Panicum;Setor_2B;2024-11-09;96;71.91;5.54;80.45
5125;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-10-01;11;71.57;6.0;80.62
5126;1;Verão;Pasto B;Pasto + Suplemento;Panicum;Setor_1B;2024-02-28;87;77.9;5.34;86.39
5127;2;Verão;Pasto A;Pasto;Mombaça;Setor_2A;2024-02-18;59;77.39;5.89;86.73
5128;1;Inverno;Pasto C;Pasto;Mombaça;Setor_1C;2024-09-18;127;61.67;5.75;69.34
5129;3;Inverno;Pasto A;Pasto + Suplemento;Panicum;Setor_3B;2024-07-04;72;61.86;5.21;70.22
5130;3;Verão;Pasto B;Pasto + Suplemento;Braquiária;Setor_3B;2024-02-04;110;77.85;5.79;85.48
5131;2;Primavera;Pasto B;Pasto;Mombaça;Setor_2B;2024-10-04;99;71.95;5.49;80.66
5132;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-01-02;4;77.05;5.82;84.89
5133;1;Primavera;Pasto C;Pasto;Braquiária;Setor_1C;2024-10-05;126;72.1;5.62;80.68
5134;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-07-27;31;62.27;5.08;70.99
5135;2;Inverno;Pasto C;Pasto;Mombaça;Setor_2C;2024-08-12;137;62.38;5.22;72.04
5136;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-06-21;5;61.42;5.35;68.83
5137;3;Outono;Pasto A;Pasto + Suplemento;Braquiária;Setor_3C;2024-06-03;76;68.73;5.89;77.72
5138;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-06-19;1;68.57;5.27;76.13
5139;1;Outono;Pasto A;Pasto + Suplemento;Braquiária;Setor_1B;2024-05-27;50;68.36;5.36;76.59
5140;2;Verão;Pasto A;Pasto;Braquiária;Setor_2B;2024-01-01;63;77.71;5.86;85.96
5141;2;Primavera;Pasto A;Pasto;Panicum;Setor_2A;2024-10-07;59;72.04;5.7;79.49
5142;2;Outono;Pasto C;Pasto;Braquiária;Setor_2C;2024-06-15;136;68.52;5.65;77.79
5143;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-07-03;20;61.96;5.16;69.41
5144;2;Inverno;Pasto A;Pasto + Suplemento;Braquiária;Setor_2A;2024-08-04;56;62.11;4.59;68.22
5145;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-01-15;18;77.37;5.45;85.93
5146;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-10-06;31;71.58;6.17;80.33
5147;3;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_3B;2024-09-14;109;62.02;5.24;68.9
5148;3;Verão;Pasto C;Pasto + Suplemento;Mombaça;Setor_3C;2024-03-13;149;77.95;5.63;86.51
5149;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-05-01;3;68.8;6.0;77.14
5150;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-05-22;27;68.83;5.53;77.28
5151;2;Primavera;Pasto C;Pasto;Braquiária;Setor_2A;2024-11-06;130;71.76;5.75;80.14
5152;1;Inverno;Pasto B;Pasto;Mombaça;Setor_1A;2024-08-07;81;61.96;5.28;70.06
5153;3;Primavera;Pasto A;Pasto;Braquiária;Setor_3B;2024-10-09;74;71.76;5.4;79.35
5154;3;Primavera;Pasto B;Pasto;Braquiária;Setor_3C;2024-11-15;114;71.65;5.62;80.41
5155;3;Inverno;Pasto C;Pasto + Suplemento;Panicum;Setor_3A;2024-07-02;141;61.94;4.91;68.42
5156;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-09-20;23;61.71;5.67;70.09
5157;3;Inverno;Pasto C;Pasto + Suplemento;Mombaça;Setor_3A;2024-09-08;140;61.76;5.25;70.06
5158;3;Primavera;Pasto B;Pasto + Suplemento;Braquiária;Setor_3A;2024-12-10;107;72.12;5.39;79.92
5159;3;Verão;Pasto B;Pasto + Suplemento;Mombaça;Setor_3B;2024-02-14;108;77.49;5.71;85.65
5160;2;Verão;Pasto C;Pasto;Mombaça;Setor_2B;2024-03-16;135;78.16;5.51;87.97
5161;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-01-03;7;77.64;5.88;86.6
5162;2;Outono;Pasto B;Pasto + Suplemento;Panicum;Setor_2C;2024-05-13;101;67.98;5.5;76.77
5163;3;Primavera;Pasto A;Pasto + Suplemento;Panicum;Setor_3B;2024-10-14;74;72.21;5.93;81.59
5164;1;Verão;Pasto B;Pasto + Suplemento;Panicum;Setor_1B;2024-01-21;84;77.22;5.53;88.29
5165;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-12-08;13;72.08;5.3;80.59
5166;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-06-26;3;62.1;5.38;69.42
5167;2;Inverno;Pasto B;Pasto;Panicum;Setor_2B;2024-09-26;98;71.35;5.6;80.11
5168;2;Outono;Pasto A;Pasto;Panicum;Setor_2B;2024-04-13;60;68.11;5.59;77.06
5169;1;Primavera;Pasto C;Pasto;Panicum;Setor_1C;2024-12-12;127;71.56;5.79;79.25
5170;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-08-18;33;62.27;5.18;69.52
5171;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-11-12;25;71.71;5.44;78.95
5172;2;Primavera;Pasto C;Pasto + Suplemento;Panicum;Setor_2C;2024-12-17;137;71.76;5.89;81.93
5173;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-08-13;8;62.27;4.65;69.48
5174;2;Inverno;Pasto C;Pasto;Panicum;Setor_2B;2024-08-06;134;61.77;5.28;69.1
5175;2;Primavera;Pasto C;Pasto;Braquiária;Setor_2A;2024-10-11;128;71.38;5.14;79.02
5176;2;Inverno;Pasto A;Pasto;Mombaça;Setor_2B;2024-09-08;62;61.81;5.01;69.17
5177;3;Inverno;Pasto A;Pasto;Panicum;Setor_3B;2024-07-26;75;62.25;5.68;70.25
5178;1;Primavera;Pasto B;Pasto;Panicum;Setor_1B;2024-11-02;85;71.77;5.55;79.86
5179;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-05-17;31;68.43;5.6;78.3
5180;1;Inverno;Pasto B;Pasto;Mombaça;Setor_1C;2024-08-25;90;61.61;5.44;69.24
5181;3;Primavera;Pasto B;Pasto;Braquiária;Setor_3C;2024-12-08;113;71.1;6.42;80.46
5182;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-10-04;10;71.73;5.46;79.64
5183;3;Inverno;Pasto A;Pasto;Mombaça;Setor_3C;2024-07-22;79;61.93;4.93;68.58
5184;3;Outono;Pasto B;Pasto + Suplemento;Mombaça;Setor_3C;2024-04-09;114;68.75;5.38;75.09
5185;1;Primavera;Pasto A;Pasto;Panicum;Setor_1A;2024-12-27;47;77.53;6.19;87.22
5186;2;Inverno;Pasto A;Pasto + Suplemento;Mombaça;Setor_2B;2024-09-02;60;61.87;5.3;70.34
5187;3;Verão;Pasto B;Pasto;Mombaça;Setor_3A;2024-01-19;107;77.42;5.44;86.53
5188;1;Verão;Pasto C;Pasto;Panicum;Setor_1B;2024-02-12;122;77.65;5.67;86.42
5189;2;Verão;Pasto B;Pasto + Suplemento;Panicum;Setor_2B;2024-01-06;99;77.4;5.9;86.47
5190;2;Primavera;Pasto A;Pasto;Panicum;Setor_2B;2024-10-19;60;72.04;5.83;80.15
5191;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-08-26;4;62.16;5.08;69.6
5192;3;Inverno;Pasto C;Pasto;Panicum;Setor_3B;2024-09-23;146;71.59;6.26;79.71
5193;1;Inverno;Pasto C;Pasto;Mombaça;Setor_1B;2024-08-19;123;62.49;4.94;69.13
5194;3;Primavera;Pasto A;Pasto + Suplemento;Mombaça;Setor_3C;2024-10-23;77;72.39;6.29;82.06
5195;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-03-12;36;77.71;6.51;87.03
5196;1;Outono;Pasto C;Pasto;Braquiária;Setor_1B;2024-06-19;123;68.23;5.96;76.99
5197;1;Outono;Pasto C;Pasto + Suplemento;Braquiária;Setor_1C;2024-04-19;127;68.83;5.96;77.97
5198;2;Inverno;Pasto B;Pasto;Mombaça;Setor_2A;2024-07-27;92;61.47;5.75;69.54
5199;1;Primavera;Pasto A;Pasto;Braquiária;Setor_1B;2025-11-18;50;71.63;5.56;78.83
5200;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2A;2025-05-06;14;68.58;5.4;76.73
5201;3;Verão;Pasto C;Pasto;Mombaça;Setor_3C;2025-02-02;151;78.34;5.72;87.83
5202;1;Verão;Pasto A;Pasto;Braquiária;Setor_1C;2025-01-02;54;77.53;5.09;84.38
5203;2;Verão;Pasto A;Pasto;Panicum;Setor_2A;2025-01-20;57;77.77;5.64;85.67
5204;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-10-01;8;71.79;5.63;80.15
5205;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2C;2025-12-16;23;71.64;5.39;79.35
5206;3;Verão;Pasto B;Pasto;Braquiária;Setor_3C;2025-01-11;114;77.63;5.69;85.89
5207;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1C;2025-03-07;11;77.25;5.72;86.18
5208;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-10-11;15;72.04;5.52;80.89
5209;3;Inverno;Pasto B;Pasto;Panicum;Setor_3A;2025-09-06;104;62.1;5.31;68.51
5210;1;Verão;Pasto C;Pasto + Suplemento;Panicum;Setor_1C;2025-02-02;127;77.4;6.0;87.04
5211;2;Verão;Pasto B;Pasto;Panicum;Setor_2B;2025-01-05;99;78.34;5.91;87.59
5212;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-03-23;1;68.66;5.48;76.52
5213;3;Verão;Pasto A;Pasto;Panicum;Setor_3B;2025-01-25;74;77.39;5.87;86.15
5214;1;Primavera;Pasto C;Pasto + Suplemento;Braquiária;Setor_1A;2024-10-28;117;71.93;6.06;80.4
5215;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3A;2025-09-28;26;71.99;6.32;81.01
5216;2;Outono;Pasto C;Pasto;Mombaça;Setor_2B;2025-05-03;132;67.96;6.07;77.1
5217;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2B;2025-08-23;20;61.83;5.68;69.89
5218;1;Inverno;Pasto B;Pasto;Panicum;Setor_1B;2025-09-13;84;62.01;5.17;68.69
5219;3;Outono;Pasto C;Pasto + Suplemento;Braquiária;Setor_3A;2025-06-04;142;68.88;5.43;77.29
5220;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-02-10;19;77.66;6.28;87.89
5221;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2B;2025-02-05;17;77.31;5.82;86.13
5222;2;Primavera;Pasto C;Pasto + Suplemento;Panicum;Setor_2B;2025-10-24;135;71.12;5.41;78.85
5223;2;Inverno;Pasto B;Pasto;Braquiária;Setor_2B;2025-08-26;99;61.58;4.78;68.85
5224;3;Inverno;Pasto A;Pasto + Suplemento;Braquiária;Setor_3B;2024-09-16;72;62.14;5.29;70.46
5225;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-12-11;17;71.63;5.31;80.33
5226;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2025-10-23;6;71.75;5.45;79.52
5227;3;Inverno;Pasto A;Pasto;Braquiária;Setor_3A;2025-09-23;68;71.84;5.57;80.92
5228;3;Primavera;Pasto A;Pasto;Mombaça;Setor_3B;2024-12-26;74;77.41;5.88;85.21
5229;3;Outono;Pasto C;Pasto;Braquiária;Setor_3A;2025-05-08;143;68.54;5.69;76.15
5230;2;Outono;Pasto A;Pasto + Suplemento;Braquiária;Setor_2C;2025-06-19;66;69.18;5.26;76.83
5231;2;Primavera;Pasto C;Pasto;Mombaça;Setor_2C;2025-10-13;138;71.86;5.69;81.74
5232;2;Verão;Pasto C;Pasto;Mombaça;Setor_2A;2025-02-24;130;77.56;6.32;86.78
5233;1;Outono;Pasto C;Pasto;Braquiária;Setor_1B;2025-06-10;122;68.36;5.58;76.86
5234;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-01-06;16;77.56;5.91;86.12
5235;2;Primavera;Pasto A;Pasto;Mombaça;Setor_2C;2025-12-01;65;72.06;5.34;80.96
5236;2;Verão;Pasto B;Pasto;Panicum;Setor_2A;2025-03-19;93;77.81;5.63;85.5
5237;1;Inverno;Pasto A;Pasto;Panicum;Setor_1C;2025-08-28;55;61.74;5.81;69.9
5238;1;Inverno;Pasto A;Pasto;Mombaça;Setor_1A;2024-09-02;47;61.7;5.18;68.61
5239;2;Verão;Pasto A;Pasto;Mombaça;Setor_2A;2025-01-20;58;77.77;6.29;87.68
5240;2;Primavera;Pasto B;Pasto;Braquiária;Setor_2A;2024-11-26;92;71.59;5.8;79.61
5241;1;Outono;Pasto B;Pasto;Mombaça;Setor_1A;2024-06-08;81;67.86;6.04;76.21
5242;1;Verão;Pasto C;Pasto;Braquiária;Setor_1A;2024-03-19;117;77.13;5.88;85.3
5243;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2025-10-16;33;72.11;6.2;80.83
5244;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1A;2025-07-11;2;62.18;5.03;70.04
5245;3;Primavera;Pasto A;Pasto;Panicum;Setor_3A;2024-12-03;69;71.47;5.69;79.84
5246;3;Outono;Pasto C;Pasto + Suplemento;Mombaça;Setor_3A;2024-04-12;143;68.47;5.61;76.24
5247;1;Primavera;Pasto A;Pasto;Braquiária;Setor_1B;2025-11-06;51;72.06;5.66;80.09
5248;3;Primavera;Pasto A;Pasto;Braquiária;Setor_3C;2024-12-03;79;72.18;5.54;81.94
5249;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2025-06-22;2;61.73;5.08;68.7
5250;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1C;2025-03-24;10;67.85;5.82;76.08
5251;1;Outono;Pasto C;Pasto;Panicum;Setor_1A;2025-05-15;116;68.46;5.15;76.68
5252;3;Verão;Pasto C;Pasto;Mombaça;Setor_3B;2025-01-09;147;77.34;6.1;85.03
5253;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-04-08;23;68.39;5.67;77.71
5254;2;Primavera;Pasto A;Pasto;Panicum;Setor_2B;2024-12-03;60;71.54;5.98;81.14
5255;2;Outono;Pasto B;Pasto;Braquiária;Setor_2B;2025-05-09;98;68.18;5.77;75.79
5256;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2025-01-24;3;77.89;5.84;85.79
5257;2;Primavera;Pasto A;Pasto;Braquiária;Setor_2C;2025-10-02;67;71.82;5.59;80.39
5258;2;Outono;Pasto B;Pasto;Mombaça;Setor_2C;2025-05-15;103;68.82;5.13;76.73
5259;2;Outono;Pasto A;Pasto;Braquiária;Setor_2C;2025-06-14;67;68.1;5.81;77.02
5260;1;Primavera;Pasto A;Pasto;Mombaça;Setor_1C;2025-10-14;53;72.09;5.2;79.9
5261;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3A;2025-05-13;25;68.51;5.63;77.07
5262;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2A;2025-08-18;16;62.17;5.43;70.1
5263;2;Outono;Pasto C;Pasto;Panicum;Setor_2B;2025-05-04;133;68.19;5.06;76.29
5264;2;Inverno;Pasto B;Pasto;Mombaça;Setor_2A;2025-08-26;94;61.7;5.27;68.98
5265;2;Inverno;Pasto C;Pasto;Mombaça;Setor_2C;2024-09-21;137;61.98;5.41;69.33
5266;1;Primavera;Pasto A;Pasto;Braquiária;Setor_1A;2024-12-08;47;71.61;5.86;79.36
5267;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3B;2025-04-15;32;68.39;5.4;76.06
5268;2;Verão;Pasto C;Pasto;Braquiária;Setor_2C;2025-01-26;136;77.24;6.02;86.72
5269;1;Primavera;Pasto A;Pasto;Mombaça;Setor_1C;2025-10-10;53;72.1;5.19;79.86
5270;3;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_3B;2025-04-11;108;68.75;5.36;75.99
5271;1;Outono;Pasto C;Pasto;Braquiária;Setor_1B;2025-05-04;120;68.75;5.28;76.34
5272;1;Inverno;Pasto C;Pasto;Braquiária;Setor_1C;2025-07-11;127;62.23;5.12;69.35
5273;3;Primavera;Pasto A;Pasto + Suplemento;Mombaça;Setor_3A;2024-10-13;68;71.66;6.19;79.73
5274;1;Verão;Pasto C;Pasto + Suplemento;Braquiária;Setor_1A;2025-01-24;116;77.51;6.25;87.39
5275;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-10-18;23;71.82;5.57;80.67
5276;1;Outono;Pasto A;Pasto;Mombaça;Setor_1C;2025-04-11;54;69.27;5.5;77.89
5277;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-12-20;11;71.78;5.57;79.38
5278;1;Outono;Pasto C;Pasto;Braquiária;Setor_1A;2024-05-23;118;68.55;5.85;76.48
5279;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-01-14;4;77.46;6.24;87.75
5280;3;Outono;Pasto A;Pasto + Suplemento;Panicum;Setor_3C;2024-06-06;76;67.74;5.55;77.96
5281;2;Verão;Pasto A;Pasto + Suplemento;Braquiária;Setor_2B;2025-03-14;62;78.01;5.83;85.27
5282;1;Inverno;Pasto C;Pasto;Braquiária;Setor_1C;2025-07-02;126;61.69;5.35;70.84
5283;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2025-04-11;9;68.42;5.54;76.51
5284;3;Inverno;Pasto A;Pasto;Mombaça;Setor_3A;2025-07-07;68;62.09;5.02;68.81
5285;1;Inverno;Pasto C;Pasto;Mombaça;Setor_1C;2024-08-23;127;61.82;5.72;69.77
5286;1;Outono;Pasto B;Pasto;Braquiária;Setor_1A;2024-06-24;80;62.02;5.26;69.77
5287;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-12-18;29;71.54;6.23;82.2
5288;2;Primavera;Pasto B;Pasto;Panicum;Setor_2C;2024-11-22;103;71.82;5.17;79.91
5289;2;Primavera;Pasto C;Pasto;Braquiária;Setor_2B;2025-11-10;132;72.33;5.62;79.67
5290;2;Inverno;Pasto B;Pasto;Braquiária;Setor_2C;2025-07-04;102;61.95;5.06;70.34
5291;3;Primavera;Pasto A;Pasto + Suplemento;Panicum;Setor_3B;2025-10-13;75;71.65;5.71;79.87
5292;1;Primavera;Pasto A;Pasto;Mombaça;Setor_1A;2025-12-18;45;71.58;5.49;80.34
5293;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2C;2025-11-05;23;71.41;5.43;78.87
5294;2;Inverno;Pasto B;Pasto;Braquiária;Setor_2C;2025-07-12;102;61.71;5.01;69.1
5295;1;Outono;Pasto B;Pasto + Suplemento;Mombaça;Setor_1B;2025-04-14;86;68.67;5.67;77.88
5296;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3A;2025-04-10;26;68.57;5.35;75.76
5297;1;Primavera;Pasto B;Pasto + Suplemento;Mombaça;Setor_1B;2025-12-21;86;77.62;5.52;85.05
5298;3;Outono;Pasto B;Pasto;Panicum;Setor_3B;2024-06-16;111;68.87;5.43;77.64
5299;3;Inverno;Pasto C;Pasto;Panicum;Setor_3A;2025-07-04;142;61.71;5.24;68.71
5300;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-01-07;30;77.73;6.38;86.63
5301;2;Outono;Pasto B;Pasto;Mombaça;Setor_2B;2024-04-21;99;68.17;5.79;77.29
5302;2;Primavera;Pasto B;Pasto;Braquiária;Setor_2C;2024-11-03;101;71.61;5.23;79.87
5303;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2B;2025-11-28;19;72.29;5.91;81.83
5304;1;Inverno;Pasto B;Pasto;Mombaça;Setor_1C;2024-07-10;89;62.06;5.46;70.81
5305;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-11-16;26;71.8;5.77;80.34
5306;2;Verão;Pasto C;Pasto;Braquiária;Setor_2B;2025-02-22;134;78.27;5.12;86.56
5307;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-11-03;4;71.34;5.94;82.05
5308;1;Primavera;Pasto A;Pasto;Braquiária;Setor_1C;2025-12-18;54;71.9;5.67;80.8
5309;3;Inverno;Pasto B;Pasto;Panicum;Setor_3C;2024-08-06;115;61.84;5.47;68.74
5310;1;Primavera;Pasto A;Pasto;Braquiária;Setor_1C;2025-11-13;54;72.0;6.13;80.25
5311;3;Verão;Pasto A;Pasto;Braquiária;Setor_3B;2025-02-06;73;77.75;6.03;86.7
5312;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-11-02;24;71.52;5.42;79.21
5313;2;Verão;Pasto C;Pasto;Mombaça;Setor_2C;2025-02-15;137;77.24;5.76;86.74
5314;1;Verão;Pasto A;Pasto;Panicum;Setor_1B;2024-02-09;48;77.75;5.82;86.28
5315;3;Outono;Pasto C;Pasto;Braquiária;Setor_3B;2024-04-27;146;68.63;5.75;77.08
5316;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2B;2025-11-19;20;72.01;5.7;79.3
5317;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-07-05;22;62.27;5.47;69.68
5318;2;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_2C;2025-09-22;102;62.25;5.31;71.19
5319;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3B;2025-04-03;29;68.43;5.5;76.63
5320;1;Outono;Pasto C;Pasto;Panicum;Setor_1B;2024-06-12;122;67.98;5.76;76.9
5321;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2025-12-14;16;71.47;5.98;82.06
5322;1;Outono;Pasto A;Pasto;Mombaça;Setor_1A;2024-06-08;47;68.64;5.81;77.3
5323;1;Outono;Pasto A;Pasto + Suplemento;Panicum;Setor_1B;2025-06-02;51;69.19;6.02;78.04
5324;3;Inverno;Pasto A;Pasto;Panicum;Setor_3B;2025-08-27;74;62.35;4.91;69.37
5325;2;Outono;Pasto C;Pasto;Braquiária;Setor_2A;2025-06-14;130;68.5;5.69;76.96
5326;3;Inverno;Pasto A;Pasto;Braquiária;Setor_3B;2024-09-22;75;61.89;5.34;70.72
5327;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-08-19;36;61.89;5.58;69.95
5328;2;Inverno;Pasto A;Pasto;Mombaça;Setor_2C;2024-07-16;65;62.06;5.18;68.81
5329;2;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_2C;2025-08-03;100;62.09;5.31;70.48
5330;1;Verão;Pasto B;Pasto;Braquiária;Setor_1B;2025-02-28;85;77.17;6.2;85.51
5331;3;Primavera;Pasto C;Pasto;Panicum;Setor_3B;2025-12-02;144;71.92;5.2;79.98
5332;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3A;2025-03-19;27;78.45;5.66;87.43
5333;3;Primavera;Pasto C;Pasto;Braquiária;Setor_3B;2024-12-26;145;77.81;5.82;86.98
5334;2;Outono;Pasto C;Pasto;Mombaça;Setor_2B;2025-06-22;132;61.83;5.34;69.86
5335;3;Verão;Pasto B;Pasto;Panicum;Setor_3A;2025-03-05;104;77.46;5.73;87.18
5336;1;Primavera;Pasto B;Pasto;Mombaça;Setor_1B;2024-10-25;84;71.75;5.62;80.65
5337;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3A;2025-02-06;28;77.54;6.14;86.67
5338;2;Outono;Pasto B;Pasto;Panicum;Setor_2B;2025-04-07;96;68.01;5.17;75.55
5339;1;Verão;Pasto A;Pasto + Suplemento;Braquiária;Setor_1B;2025-01-05;50;77.38;5.55;85.39
5340;2;Inverno;Pasto C;Pasto;Panicum;Setor_2B;2025-07-14;133;61.71;5.54;69.32
5341;1;Verão;Pasto B;Pasto;Panicum;Setor_1B;2024-01-22;85;77.49;6.22;88.17
5342;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2025-11-07;33;71.54;5.45;79.68
5343;2;Primavera;Pasto B;Pasto;Braquiária;Setor_2C;2025-12-05;102;72.31;5.6;81.67
5344;1;Outono;Pasto A;Pasto;Braquiária;Setor_1B;2024-06-09;49;67.89;5.67;75.7
5345;2;Outono;Pasto A;Pasto;Mombaça;Setor_2C;2024-05-24;67;68.24;5.31;76.74
5346;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-01-03;1;77.15;5.45;85.38
5347;2;Verão;Pasto C;Pasto;Mombaça;Setor_2C;2024-02-18;138;77.51;6.25;86.24
5348;2;Primavera;Pasto B;Pasto;Braquiária;Setor_2A;2024-11-18;94;71.99;5.73;79.77
5349;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3A;2025-05-28;27;67.76;5.11;74.6
5350;3;Outono;Pasto C;Pasto;Braquiária;Setor_3A;2025-05-17;143;68.53;5.97;78.75
5351;2;Outono;Pasto B;Pasto;Braquiária;Setor_2C;2024-05-28;100;68.22;6.96;78.22
5352;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1B;2025-04-26;6;68.11;6.03;76.16
5353;2;Inverno;Pasto B;Pasto + Suplemento;Panicum;Setor_2B;2024-09-20;99;61.7;5.28;69.76
5354;3;Outono;Pasto C;Pasto;Panicum;Setor_3C;2024-06-17;148;68.89;5.72;76.11
5355;1;Inverno;Pasto B;Pasto;Panicum;Setor_1A;2024-08-04;80;61.89;5.21;68.62
5356;3;Inverno;Pasto C;Pasto;Braquiária;Setor_3C;2025-08-05;150;61.62;5.02;70.27
5357;1;Outono;Pasto A;Pasto + Suplemento;Mombaça;Setor_1B;2025-04-19;50;68.5;6.18;77.29
5358;2;Primavera;Pasto C;Pasto;Braquiária;Setor_2C;2024-12-19;138;71.46;5.42;79.07
5359;2;Inverno;Pasto C;Pasto;Panicum;Setor_2C;2024-07-04;138;61.82;5.23;69.6
5360;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3B;2025-03-25;29;67.93;5.71;77.25
5361;3;Primavera;Pasto C;Pasto + Suplemento;Panicum;Setor_3B;2024-10-26;144;72.18;5.52;80.19
5362;3;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_3A;2024-08-28;105;62.17;4.91;69.18
5363;3;Primavera;Pasto B;Pasto + Suplemento;Braquiária;Setor_3A;2025-12-12;105;72.14;6.02;79.83
5364;1;Inverno;Pasto A;Pasto;Panicum;Setor_1B;2025-08-09;48;62.37;4.8;68.22
5365;1;Primavera;Pasto A;Pasto;Panicum;Setor_1A;2025-11-21;45;72.04;5.93;80.59
5366;1;Outono;Pasto A;Pasto;Panicum;Setor_1B;2025-05-19;51;68.46;5.69;76.93
5367;1;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_1C;2025-09-16;89;62.29;5.3;69.82
5368;1;Inverno;Pasto B;Pasto;Panicum;Setor_1A;2025-07-06;81;61.97;5.2;70.01
5369;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3B;2025-02-13;32;77.42;5.68;85.38
